"","nomem_encr","Extraversion","Agreeableness","Conscientiousness","Emotional_stab","Openness","Self_esteem"
"1",800009,3.2,3.5,3.4,2.4,3.9,4.85
"2",800015,2.4,4.6,4.9,4.5,4.3,6.62
"3",800042,2.9,4,4.5,3.3,3.2,5.85
"4",800054,4,4.3,4,4.2,4.7,6.46
"5",800057,4.5,4.1,3.2,4.6,4.8,6.62
"6",800085,3.2,3.8,4,2.7,3.6,6.69
"7",800100,3.6,3.8,3.4,3.5,3.3,7
"8",800119,4.6,4.1,3.8,2.5,3.5,6
"9",800131,3.1,3.9,4.6,2.8,3.6,7
"10",800161,3.2,3.8,3.4,4.2,3.8,6.23
"11",800170,2.6,3.9,4.3,4.1,3.2,5.46
"12",800186,3.3,3.9,3.6,3,2.9,5.85
"13",800198,3.6,3.6,4.1,4.4,4.1,6.77
"14",800201,3.1,3.7,3.9,3,3.1,3.54
"15",800204,3.4,3.9,3.4,4,4,6.08
"16",800228,3.4,4.1,3.2,4.3,3.4,5.92
"17",800241,2.9,3.2,3.5,3.2,3.2,5.31
"18",800244,2.6,3.8,4.2,4,3.9,5.54
"19",800274,2.9,3.8,2.7,2.2,2.5,3.85
"20",800289,3.4,4.2,4.1,3.2,3.2,5.85
"21",800360,2.9,3.8,3.9,3.9,3.8,5.08
"22",800372,3,3,2.9,2.9,3,4
"23",800384,2.5,4.2,2.9,3.6,4.3,3.77
"24",800393,4.4,4,3.7,4.3,3.7,6.31
"25",800405,2.9,3.3,2.8,3,3.4,4.85
"26",800408,3.2,3.4,3.6,3.8,3.1,6
"27",800418,3.2,3.6,4,2.2,3.8,5.62
"28",800424,2.8,4.1,4.2,2.2,3.1,4.31
"29",800427,3.3,3.7,3.4,2.8,3.5,4.54
"30",800430,3.5,3.9,4.4,4.1,4.4,5.85
"31",800445,3.8,3.9,4,2.9,3.5,4.62
"32",800457,4,4.3,4.3,3.3,4.1,5.69
"33",800463,3,1.9,3,2.6,4.4,4.23
"34",800497,3.5,3.3,3.7,3.9,3.4,7
"35",800500,3.2,4.4,3.1,4.2,2.5,4.38
"36",800503,2.6,3.8,3,3.4,3.8,5.46
"37",800540,3.5,4.3,3.4,4,3.4,6.62
"38",800552,4.3,2.8,3.9,2.8,2.9,5.77
"39",800561,2.2,4.2,3.3,3.1,2.8,5.69
"40",800570,2.8,3.8,4.2,3.2,3.4,5.54
"41",800573,4.3,4.1,3.4,2.1,3.9,6.31
"42",800582,3.5,4.5,3.3,3,2.9,3.46
"43",800601,4,4.3,4.1,4,3.4,5.92
"44",800637,3.1,4.2,4.4,4.1,3.5,6.38
"45",800643,3.8,3.8,4.1,3.2,3.6,5.23
"46",800656,4.6,4.5,2.9,3.6,4,5.54
"47",800659,3.5,4,3.6,4.4,3.4,5.54
"48",800671,3.5,4,3.4,3.6,3.5,4.62
"49",800674,3,3.9,4,3.4,4.1,5.92
"50",800677,3.9,3.6,3,3.4,3.4,6.15
"51",800695,4,4.7,4.7,4.1,4.5,6.46
"52",800701,3.7,4.4,4.1,3.3,3.7,5.62
"53",800762,2.8,4.1,3.6,4.6,3.1,6
"54",800775,2.5,4.1,3.9,4.2,4,6.23
"55",800778,3.8,4,4.1,4,3.5,5.92
"56",800827,3.4,3.8,4.2,3.9,3.3,6.46
"57",800842,2.9,2.9,3.2,2.4,3.2,4.08
"58",800848,3.4,3.8,4.2,4,3.5,6
"59",800851,3.1,3.8,4.1,4.1,3.7,4.31
"60",800869,2.7,3.3,3.7,2.6,3.2,5.54
"61",800881,3.7,4,3.8,3.3,3.1,5.85
"62",800894,2.5,3.3,3.4,2.6,3.2,4.46
"63",800903,2.8,3.1,3.5,3.5,3.4,3.62
"64",800909,4,4.4,2.8,3.5,3.1,4.54
"65",800918,3.8,4.2,4,2.8,3.9,6.08
"66",800930,3.8,3.7,2.1,3.3,4,4.54
"67",800942,3.2,4.2,4.3,3.1,2.9,6.54
"68",800988,2.2,4.1,4.5,2.3,3.3,3.77
"69",800994,3.9,4.1,4.4,3.7,3.2,5.77
"70",800997,3.8,4.2,3.3,3.7,3.9,6.46
"71",801004,3.7,3.8,3.5,3.7,3.7,6.15
"72",801031,3.7,3.3,3.8,3.9,3.6,5.85
"73",801037,2.7,4.5,3.9,3,3.1,5.69
"74",801055,4.8,4.1,4.1,3.7,3.8,6.23
"75",801068,2.8,3.7,3.8,2.8,4,4.62
"76",801083,2.5,3.6,4.2,2.9,2.6,5
"77",801132,3,4.4,4.2,3,3.4,3.69
"78",801141,3.4,4.4,4,4.2,3.2,6
"79",801144,3.4,3.2,4.2,3.5,3.9,6.54
"80",801156,3,4,3.9,3,2.7,5.85
"81",801162,3.9,4.3,4.3,3.1,3.6,5.08
"82",801165,4.3,3.8,3.5,2.8,3.4,5.46
"83",801174,2.5,4.4,3.8,3.8,2.7,5
"84",801205,2.7,3,3.8,3.6,3,5.69
"85",801211,3.6,4.1,4.2,3.7,3.5,6.23
"86",801217,3.3,4.1,4.3,3.1,3.6,5.69
"87",801229,3.4,3.8,4.1,3.7,3.4,6.08
"88",801257,2.9,3.1,3.7,1.7,2.6,1.62
"89",801269,2.7,3.7,3.4,2.6,3.2,4
"90",801272,3.6,4.1,4,3.3,3.4,6.15
"91",801287,4.8,4.9,4.6,3.1,3.5,6.23
"92",801300,4.6,3.8,4.4,4.5,4.3,6.92
"93",801330,2.1,3.5,4.4,3,3.1,5.62
"94",801361,4.2,4.4,3.8,3.5,4,6.08
"95",801370,3,4.1,3.5,3,2.4,4.31
"96",801373,2.4,3.4,3.5,2.6,3.1,3.15
"97",801394,3.6,4,3.7,3.5,3.6,6
"98",801412,3,3.6,4.6,4.5,3.2,6.69
"99",801437,4.1,3.7,3.4,2.9,3.4,5.38
"100",801449,4.3,4,3.5,3.8,4.2,6.08
"101",801452,3.3,4.3,4.6,3.9,4.1,6.38
"102",801467,4.5,4,4,4.3,3.8,5.92
"103",801470,2.4,3,3.8,4.8,3.7,5.85
"104",801480,3.8,4.7,4.2,2.5,3.4,5.15
"105",801486,3,4.3,4,3.3,3.5,5.38
"106",801492,3.6,4.4,4.4,4.5,3.5,6.62
"107",801498,3.5,3.7,3.2,3.9,3.5,5.85
"108",801550,2.2,3.3,3.1,2.8,3.2,6.69
"109",801556,1.7,3.7,4.6,3.3,3.4,3.92
"110",801565,3.4,4.2,3.9,3.3,3.6,5.62
"111",801568,4.1,4,3.8,4,3.8,6.38
"112",801574,4,3.7,4.7,4.6,4.1,6.85
"113",801577,3.6,3.2,3.2,4.1,2.3,6.77
"114",801586,3.7,3.2,2.8,2.8,4,5.31
"115",801589,3.8,3.8,4.2,4.1,3.1,6
"116",801599,4.2,3.8,3.5,3.2,4.2,5.38
"117",801635,3.6,4.4,4.6,3.5,4.1,6.08
"118",801657,4.4,4,4.4,4.4,4,6.77
"119",801663,4.1,3.9,4,4.1,4,6.62
"120",801666,4.5,4.6,2.9,4.2,4.8,6.62
"121",801742,3.7,3.7,4,4.5,3.9,6.77
"122",801748,4.5,4.5,4,3.5,4.5,NA
"123",801754,3.5,3.9,4,4.1,3.4,5.85
"124",801763,3.4,3.6,4.3,4,4.1,5.85
"125",801776,3.9,4.7,4.6,4.1,4,5.46
"126",801824,2.8,3.5,2.7,2.5,3.2,3.38
"127",801849,3.7,3.3,4.4,3.5,3.6,6.23
"128",801855,3.7,3.7,3,4.2,3.1,5.23
"129",801858,3.7,3.8,3.9,3.5,3.5,6.08
"130",801861,2.4,3.1,3.4,4,2.5,5.85
"131",801876,3.5,3.6,3.8,4.6,4.4,7
"132",801922,3.6,2.9,4,3.6,3.8,6.31
"133",801931,3.8,3.7,3.6,2.8,3.3,5.62
"134",801947,3.2,4.1,3.2,3,3.3,4.38
"135",801953,3.6,4.2,4.3,4.6,3.2,5.69
"136",802032,4.1,4.1,4.3,4.6,4.2,6.62
"137",802035,2.8,3.7,3.4,3.8,3.1,4.85
"138",802047,3,3.1,2.9,2.9,3.1,4.62
"139",802066,4.3,4.3,3.5,3.8,3.3,5.85
"140",802072,3,3.4,3,3.1,2.9,4
"141",802084,2.9,4.2,4,2.1,2.8,5.31
"142",802096,3.6,4.4,4.9,4.2,3.8,6.54
"143",802102,2.4,3.2,3,2.4,3.4,4.08
